name,email,team
Bran Stark,isaac_hempstead_wright@gameofthron.es,Alpha
Tormund Giantsbane,kristofer_hivju@gameofthron.es,Alpha
Hodor,kristian_nairn@gameofthron.es,Alpha
Lancel Lannister,eugene_simon@gameofthron.es,Alpha
Joffrey Baratheon,jack_gleeson@gameofthron.es,Alpha
Grand Maester Pycelle,julian_glover@gameofthron.es,Alpha
Jon Snow,kit_harington@gameofthron.es,Alpha
Arya Stark,maisie_williams@gameofthron.es,Alpha
Khal Drogo,jason_momoa@gameofthron.es,Alpha
Stannis Baratheon,stephen_dillane@gameofthron.es,Alpha
Tywin Lannister,charles_dance@gameofthron.es,Alpha
Jorah Mormont,iain_glen@gameofthron.es,Alpha
Ellaria Sand,indira_varma@gameofthron.es,Alpha
Petyr Baelish,aidan_gillen@gameofthron.es,Alpha
Viserys Targaryen,harry_lloyd@gameofthron.es,Alpha
Tommen Baratheon,dean-charles_chapman@gameofthron.es,Alpha
Rast,luke_barnes@gameofthron.es,Alpha
Robert Baratheon,mark_addy@gameofthron.es,Alpha
Robb Stark,richard_madden@gameofthron.es,Alpha
Melisandre,carice_van_houten@gameofthron.es,Alpha
Talisa Maegyr,oona_chaplin@gameofthron.es,Alpha
Brienne of Tarth,gwendoline_christie@gameofthron.es,Alpha
Pypar,josef_altin@gameofthron.es,Alpha
Samwell Tarly,john_bradley-west@gameofthron.es,Alpha
Meryn Trant,ian_beattie@gameofthron.es,Alpha
Myrcella Baratheon,nell_tiger_free@gameofthron.es,Alpha
Bronn,jerome_flynn@gameofthron.es,Alpha
Gendry,joe_dempsie@gameofthron.es,Alpha
Rodrik Cassel,ron_donachie@gameofthron.es,Alpha
Maester Luwin,donald_sumpter@gameofthron.es,Alpha
Maester Aemon,peter_vaughan@gameofthron.es,Alpha
Jeor Mormont,james_cosmo@gameofthron.es,Alpha
Gilly,hannah_murray@gameofthron.es,Alpha
Gregor Clegane,hafthór_júlíus_björnsson@gameofthron.es,Alpha
Alliser Thorne,owen_teale@gameofthron.es,Alpha
Tyrion Lannister,peter_dinklage@gameofthron.es,Alpha
Grenn,mark_stanley@gameofthron.es,Alpha
Cersei Lannister,lena_headey@gameofthron.es,Alpha
Daenerys Targaryen,emilia_clarke@gameofthron.es,Alpha
Janos Slynt,dominic_carter@gameofthron.es,Alpha
Davos Seaworth,liam_cunningham@gameofthron.es,Alpha
Ned Stark,sean_bean@gameofthron.es,Alpha
Varys,conleth_hill@gameofthron.es,Alpha
Ramsay Bolton,iwan_rheon@gameofthron.es,Alpha
Jaime Lannister,nikolaj_coster-waldau@gameofthron.es,Alpha
Sansa Stark,sophie_turner@gameofthron.es,Alpha
Theon Greyjoy,alfie_allen@gameofthron.es,Alpha
Sandor Clegane,rory_mccann@gameofthron.es,Alpha
Shae,sibel_kekilli@gameofthron.es,Alpha
Catelyn Stark,michelle_fairley@gameofthron.es,Alpha
Missandei,nathalie_emmanuel@gameofthron.es,CompanyW
The High Sparrow,jonathan_pryce@gameofthron.es,CompanyW
Rickon Stark,art_parkinson@gameofthron.es,CompanyW
Barristan Selmy,ian_mcelhinney@gameofthron.es,CompanyW
Margaery Tyrell,natalie_dormer@gameofthron.es,CompanyW
Ygritte,rose_leslie@gameofthron.es,CompanyW
Jaqen H'ghar,tom_wlaschiha@gameofthron.es,CompanyW
Roose Bolton,michael_mcelhatton@gameofthron.es,CompanyW
Doreah,roxanne_mckee@gameofthron.es,CompanyW
Daario Naharis,michiel_huisman@gameofthron.es,CompanyW
Osha,natalia_tena@gameofthron.es,CompanyW
Ros,esme_bianco@gameofthron.es,CompanyW
Irri,amrita_acharia@gameofthron.es,CompanyW
Kevan Lannister,ian_gelder@gameofthron.es,CompanyW
Beric Dondarrion,richard_dormer@gameofthron.es,CompanyW
Podrick Payne,daniel_portman@gameofthron.es,EnterpriseZ
Shireen Baratheon,kerry_ingram@gameofthron.es,EnterpriseZ
Olly,brenock_o'connor@gameofthron.es,EnterpriseZ
Ronald Cox,ronald_cox@fakegmail.com,EnterpriseZ
Victor Patel,victor_patel@fakegmail.com,EnterpriseZ
Megan Richards,megan_richards@fakegmail.com,EnterpriseZ
Denise Bryant,denise_bryant@fakegmail.com,EnterpriseZ
Victoria Sanders,victoria_sanders@fakegmail.com,EnterpriseZ
Phillip Collins,phillip_collins@fakegmail.com,EnterpriseZ
Elizabeth Wiggins,elizabeth_wiggins@fakegmail.com,EnterpriseZ
Megan Turner,megan_turner@fakegmail.com,EnterpriseZ
Kenneth Chandler,kenneth_chandler@fakegmail.com,EnterpriseZ
Jennifer Frazier,jennifer_frazier@fakegmail.com,EnterpriseZ
Mary Mitchell,mary_mitchell@fakegmail.com,EnterpriseZ
Connie Barton,connie_barton@fakegmail.com,EnterpriseZ
Othell Yarwyck,brian_fortune@gameofthron.es,EnterpriseZ
Eddison Tollett,ben_crompton@gameofthron.es,EnterpriseZ
Bowen Marsh,michael_condron@gameofthron.es,EnterpriseZ
Amy Phillips,amy_phillips@fakegmail.com,EnterpriseZ
